signal_id,target_id,asof_date,hiring_change_30d,news_event_score,capital_event_flag,partnership_signal_score,exec_departure_flag,customer_concentration_pct,banker_hired_flag,litigation_flag,notes,evidence_ids
2cf6ae9f-2906-4ab2-ab86-945afadd796c,ff5f31fc-4a57-4763-a510-8b3033760602,2024-08-30,-4,2.75,False,2.03,True,29.89,False,True,Synthetic signals.,333c3ca0-5c0a-4aef-b8c3-49f735f20ab2
20ffe708-eee7-4de5-9251-94b09d125fae,72b16bd0-f24a-49d5-951a-d8e6531ed619,2024-08-30,-5,4.88,True,3.1,True,17.28,False,False,Synthetic signals.,8f0c30e3-3cd0-4595-be7e-3b047a70f35e
272d229d-a16b-45fa-bdaa-ea2efe954104,29caecd0-2568-4c92-8b0f-319e7d8af660,2024-08-30,-4,2.52,True,4.53,True,27.0,True,True,Synthetic signals.,ba1a2a69-4336-4bd5-8261-76e342f09703
c4a41218-1c94-446c-9148-021660af8323,f80667d6-ec4b-432b-b695-daa27f9abca5,2024-08-30,9,4.84,False,1.69,True,47.48,False,False,Synthetic signals.,222d9541-0204-42e7-8e9a-c951591cc295
489dd1a0-9a1d-4350-ad0a-5714a97aea7f,e3877615-974f-4b1a-807c-bf03b67f11e9,2024-08-30,0,3.85,True,5.26,False,41.82,True,True,Synthetic signals.,b2f95c40-4ee7-4e81-8cff-1ab77c017760
d4169e26-6e3a-40ef-b905-a8fd82b3185f,194db580-b59e-4ca5-a55b-48b47ea489ae,2024-08-30,6,1.64,True,2.81,True,26.89,False,True,Synthetic signals.,57dbd780-c836-46d0-af4b-dc104c1898b4
804ab8fb-726e-4b2c-a651-83e5cf8756f5,3994ea3e-a22a-4456-85d0-7767805bb77b,2024-08-30,7,4.71,True,6.8,True,59.66,True,True,Synthetic signals.,16c027a4-a406-42c7-a530-d684785d6860
18e3ae64-447a-4fed-801f-2cc0de02cc3e,2666fdb9-5dad-446f-a122-f7458b47982b,2024-08-30,-1,4.47,True,7.61,True,11.4,True,False,Synthetic signals.,b621f8c9-bace-4fe1-b826-3b47b597f9ed
afe11bb0-95dc-492d-bb07-43151085bc79,b053abf4-2c12-4f37-89ab-f79b847f42d7,2024-08-30,-1,5.19,True,7.98,True,40.43,True,True,Synthetic signals.,38b91465-809f-49da-887e-3a3f0d713585
5343583d-9ed0-4388-b8be-8d42fcaaace9,3a58872d-3e81-4ea6-ba62-2e0134d18b77,2024-08-30,-5,7.08,True,4.55,True,44.64,False,False,Synthetic signals.,fcc6338d-a802-415e-966b-93aee368bb52
d44a8f34-c4ee-4a7e-b312-fe31ff9ec660,b1f907ef-9dac-4c01-9cdf-9f4db73d8c32,2024-08-30,1,6.36,True,8.18,True,56.98,False,True,Synthetic signals.,3646c782-7028-451d-87aa-bc89854eb626
0de8f34d-dce1-450f-a693-96c49654bd9c,00d47bb6-c108-4625-96b7-b6a2853ca952,2024-08-30,-3,6.78,True,3.7,False,32.02,True,False,Synthetic signals.,3410b701-556a-464f-9fb3-cbbb43699537
8023b6b6-414d-4a50-a5cb-4dfe1df50fbd,6163b998-a988-468d-bca5-4c38d4612c85,2024-08-30,3,4.25,False,6.6,True,23.95,True,False,Synthetic signals.,1dc6fba8-0189-4f07-b714-a490a4bbf27d
fdfb9505-c870-4812-9efa-d3c375de8375,e6208e91-3970-4c2e-8ba9-36e6c8c2391e,2024-08-30,-4,5.22,True,8.51,True,23.09,True,True,Synthetic signals.,9df3b4c5-5014-41d7-b57a-16f08eb13964
519525ca-545a-4c73-8a29-2262c8603b98,b550f9f7-a3bb-40cb-aa99-aafced3931ac,2024-08-30,2,8.48,True,6.27,False,42.83,False,False,Synthetic signals.,4c651a8d-55ff-41f0-970d-4b56d4fda86a
ccfdcfd3-12e7-4aa5-a527-9c80195891d8,0484187c-686f-450b-b22e-26d427d5859b,2024-08-30,-3,6.32,False,7.96,False,39.94,False,True,Synthetic signals.,24bf71bb-4d15-4865-80f4-d8a6ab1b36dc
30c605d0-9a28-4fa8-8386-5f4dad4bcae1,dac5967b-9cc0-4645-b05d-1a8c046acb39,2024-08-30,1,2.99,True,1.73,True,17.19,True,False,Synthetic signals.,cbabfbe5-f2c7-4e98-be8d-c103b4e55041
70112534-e5cb-4b1c-bdf4-625d28d6aa17,8460634a-84c9-45bd-98ff-fa0720a92c9a,2024-08-30,-1,1.35,False,6.87,True,55.49,True,True,Synthetic signals.,3ae6c85a-f01d-41bf-b9e1-f01013854056
986918bb-7356-4dc7-b2ea-dfa111af9916,03d0bf8f-650c-4375-a8e6-06319b2c4fe2,2024-08-30,-3,6.27,True,6.97,False,22.61,True,False,Synthetic signals.,09763d96-1afa-4faf-8eed-10eed698b34a
5da91377-5d6f-43bc-8cba-d7fa5933820b,2646526e-5957-4125-ae1e-1994fe4c6ad3,2024-08-30,4,5.97,True,1.1,True,34.29,True,True,Synthetic signals.,698833f5-f6a7-4b64-afc3-0c8a1b19c2e7
3b5ca6f5-3e5e-44b9-9ed5-9e1c7cc8586c,5fb88e6f-7ac8-4785-b3af-408e502bccaf,2024-08-30,9,8.95,False,2.68,True,13.73,True,True,Synthetic signals.,c6018cc9-d515-4347-89da-72cd37f1a0ff
757d71db-18be-49bc-ba24-34d6720ed14c,32f88f1f-3f57-4290-b363-0157e6bb748d,2024-08-30,7,3.42,True,4.33,False,25.8,False,True,Synthetic signals.,4d988e0b-d527-4f68-8e68-f6da03a892a8
55235d21-1e39-4832-93df-e185088743c1,a846e672-7b5d-4535-8880-842e0dd107cc,2024-08-30,-4,3.25,True,7.68,False,41.75,True,True,Synthetic signals.,371ddba8-13b8-4a2b-a5c7-425fa69b5712
00bc6d9c-9685-4801-9cdb-8e53babec4f2,d2d67b5c-1b00-440f-aa61-0a6d8d9994ec,2024-08-30,8,4.61,True,6.16,False,34.28,True,True,Synthetic signals.,ea203197-a64e-4747-8735-e1935157d9a9
32d47f03-9126-4362-b5a4-341449d601cf,433505de-6d1b-40c1-bb69-fda582af883a,2024-08-30,10,5.4,False,8.25,False,31.37,True,True,Synthetic signals.,2541569f-17df-400d-bee0-267761622e19
be70e8cd-3f5a-48f3-accf-63b0976923a0,2752ec5a-3610-49f5-a5f6-d0de80fbfda6,2024-08-30,3,5.59,False,2.01,True,14.63,True,False,Synthetic signals.,c195f84e-7dbb-41b8-955e-73ba9e555030
92dc29a4-adc9-4b15-a7d5-d7ac3c3e5d4a,07ed5573-d6b8-49ce-a051-a38bc28e0f8b,2024-08-30,9,8.78,True,7.26,True,17.72,True,False,Synthetic signals.,dfa91102-1c25-4f20-a90f-32243aa86a07
d3374f93-9cc1-4585-b16b-02b484249fec,a5d78a0f-d043-4182-98c8-5d0137a8f013,2024-08-30,1,4.1,True,7.32,True,10.52,False,False,Synthetic signals.,c33c63a1-092e-482d-a103-16ef6c50fbc1
c8e67bb9-38a3-4e07-8986-11ef4d030019,bf69444f-a45c-495f-843b-260a7d7dee3f,2024-08-30,2,6.34,False,2.81,True,44.79,False,False,Synthetic signals.,4c1362ba-7854-48b4-9206-b885caabbc49
426c8e24-1407-4772-b3c9-02b8989c223a,c24388bc-1607-4ce4-84db-237e1939c6a4,2024-08-30,10,5.88,True,4.88,True,57.44,True,False,Synthetic signals.,e95e8ef5-bcc5-4344-9145-09d17ba30ca4
cb251b3f-553f-4c0c-b11f-5569622b11e8,6c052530-f4b2-4e65-8e1c-fefe71094b59,2024-08-30,9,1.26,False,7.71,False,32.12,True,True,Synthetic signals.,bd34d535-1c7b-4f96-be4e-7e2858cc0ef8
a96dea58-2529-43e5-b7bb-e3e25b03a379,9ae940c4-9e9f-4441-9489-367dbcf8c536,2024-08-30,9,2.54,False,6.9,False,11.51,False,True,Synthetic signals.,f8b1f97a-a54d-493c-8c71-35130b694971
02cafaba-0e01-4f78-98b9-ccd4b1c23211,b2093166-e5c4-457b-8b43-ae0ae1f2306f,2024-08-30,5,8.39,False,1.03,True,11.21,True,True,Synthetic signals.,4546c919-a4b2-4d3a-8004-fbc068d3ea87
10d971c8-71ad-480e-9b44-1af91552180a,2de3bb59-02dc-4f06-9d1e-eff9db7c2c1a,2024-08-30,5,7.89,False,3.89,True,35.59,False,True,Synthetic signals.,67242d85-9f63-4972-b731-be87a53b8ea9
6b4c3e0c-c99a-4272-8737-d481e2e435d4,9687224a-00ed-457f-9e45-725df5e7fb9e,2024-08-30,2,2.06,False,5.96,True,47.4,True,False,Synthetic signals.,3dc3c3a1-af69-4d83-8145-23f36efdfa3c
50b36a56-852a-410e-aa99-599342d72b6e,5c390e67-0243-4631-af57-0da0e15ef824,2024-08-30,2,6.2,True,6.23,True,15.12,False,True,Synthetic signals.,3f8cacb7-6f37-46c8-b56e-1cbcf2579e36
1bc2948b-5c4b-4383-813b-e59fbc1a54cb,6964cf29-8d81-475d-8220-d6856b99e0c3,2024-08-30,-5,1.85,False,2.74,False,27.0,True,True,Synthetic signals.,e87b0346-7186-4830-b5be-e9326cb42811
8cc38c90-c779-4d39-8b2f-fd6fb082c873,7809a5b6-3f07-4fc9-a485-1f762c9f58ff,2024-08-30,7,6.31,True,6.11,True,42.65,False,False,Synthetic signals.,c5ac5a3b-6730-4bde-80d0-d439009ed8c5
9ea61f77-06b9-4bff-a16c-d3b7ba36a7fa,6c09aa75-fd04-49ce-b957-5796c02a696d,2024-08-30,-5,4.47,True,4.39,True,30.31,False,False,Synthetic signals.,aee822c3-316d-4305-bce6-2f8153e60252
c8e5b707-03d5-494e-a20c-cc5516d370df,500a0853-8000-470c-8250-c572a4d5a6d0,2024-08-30,7,4.92,True,3.41,True,58.78,False,False,Synthetic signals.,bd13ad47-669b-4dd5-9788-97495a988d35
53425a10-160e-4369-98b7-6faf6b9c2618,4f65c28c-c63c-4c97-a875-b173b2e6ab84,2024-08-30,7,8.51,True,4.07,True,17.47,True,True,Synthetic signals.,186199d7-83d7-47d2-8570-3316e9c08c0e
277af948-4e35-41af-ace4-dd0e48e36ef6,1277a9e4-187c-4560-b30b-4a8a41c7ecf3,2024-08-30,9,2.43,True,5.95,False,33.26,False,False,Synthetic signals.,6f5669da-9503-41bb-a66b-357bc8e67d94
c023353e-9ca6-4a52-879d-7d01d5df5e2d,7beb9e29-d176-4565-96a5-b0ab66446b5e,2024-08-30,-3,1.43,False,6.22,True,11.29,True,True,Synthetic signals.,a5c89b3d-28a3-4f50-8689-9186426ec63a
640aea9b-c61a-4d6c-a561-079eeb905ee8,7d55254b-a02f-42c6-8b6c-b5f6dc11cee4,2024-08-30,9,2.15,False,2.67,False,40.79,True,False,Synthetic signals.,22f6e04a-621c-44ff-97b7-ca4c2a31a12b
0750f92a-5bfe-4586-b739-9c9c873c8a70,db6dfe7d-40bb-4c4d-ad7f-5c9555989fc4,2024-08-30,-2,3.02,False,6.9,False,23.24,False,True,Synthetic signals.,eb5b61f3-0d7f-43d3-b3a2-30e5e9398433
06b4a6a2-892c-4dbd-ba80-75131cfe5071,374864e9-084e-400e-a652-2e0db153db5a,2024-08-30,-4,2.77,False,5.93,False,30.88,False,True,Synthetic signals.,091207f5-316f-4bb8-80e0-0d8d5131db25
3d7c06b1-7ef2-40ac-90e8-00afc829eecd,aeafca4f-5ae2-468c-8cce-8a9c3800ae6f,2024-08-30,-1,1.11,True,6.66,False,14.79,True,False,Synthetic signals.,d9c08138-a22c-4b34-acab-ce1c71b737d9
fe6f1012-b631-4af8-9b11-35840d2f1fe7,a2234bcb-3e32-4e5b-9fa6-4d1bacc3bd9b,2024-08-30,7,2.49,True,1.47,True,10.62,True,True,Synthetic signals.,795d810a-ad33-484d-a972-393a8eea8db7
eda9d97d-7dd2-479f-a6a8-581d36016ca6,b9beebaf-0fd5-4016-a165-d03bd3c7f092,2024-08-30,8,6.96,False,1.64,False,18.77,True,False,Synthetic signals.,dc9ef8cd-ce68-40ce-be19-ad4b89392aac
842c9f7f-98f2-4a66-8dcb-de17c01d6332,68a9827b-fc1d-4929-822f-068152ddcffd,2024-08-30,1,1.68,True,2.36,True,52.09,True,True,Synthetic signals.,bb58a4a3-d944-41ee-b763-7d65ed91e76e
